Timestamp,Group_Reward,QoE_Variance,Jain_Index
2025-11-07 16:41:05,7.7516,73.9116,0.9998
2025-11-07 16:41:05,7.7517,74.6960,0.9998
2025-11-07 16:41:05,7.7498,62.2471,0.9998
2025-11-07 16:41:05,7.7507,49.3525,0.9999
2025-11-07 16:41:05,7.7370,216.2889,0.9993
2025-11-07 16:41:05,7.7376,227.0534,0.9993
2025-11-07 16:41:05,7.7359,208.2469,0.9994
2025-11-07 16:41:05,7.7346,213.9960,0.9993
2025-11-07 16:41:05,7.7424,87.7571,0.9997
2025-11-07 16:41:05,7.7437,110.0809,0.9997
2025-11-07 16:41:05,7.7461,125.8718,0.9996
2025-11-07 16:41:06,7.7462,125.4170,0.9996
2025-11-07 16:41:06,7.7408,214.2708,0.9994
2025-11-07 16:41:06,7.7387,176.0658,0.9995
2025-11-07 16:41:06,7.7378,164.1073,0.9995
2025-11-07 16:41:06,7.7393,154.6342,0.9995
2025-11-07 16:41:06,7.7391,156.9626,0.9995
2025-11-07 16:41:06,7.7412,193.6633,0.9994
2025-11-07 16:41:06,7.7319,189.9163,0.9994
2025-11-07 16:41:07,7.7304,192.4259,0.9994
2025-11-07 16:41:07,7.7333,156.3772,0.9995
2025-11-07 16:41:07,7.7291,69.4492,0.9998
2025-11-07 16:41:07,7.7339,59.1407,0.9998
2025-11-07 16:41:07,7.7345,56.3016,0.9998
2025-11-07 16:41:07,7.7346,55.6505,0.9998
2025-11-07 16:41:07,7.7366,87.1302,0.9997
2025-11-07 16:41:07,7.7299,126.4344,0.9996
2025-11-07 16:41:07,7.7313,126.6899,0.9996
2025-11-07 16:41:07,7.7294,146.5407,0.9995
2025-11-07 16:41:08,7.7135,51.7941,0.9998
2025-11-07 16:41:08,7.7028,171.7634,0.9994
2025-11-07 16:41:08,7.7014,146.7599,0.9995
2025-11-07 16:41:08,7.7035,162.1562,0.9995
2025-11-07 16:41:08,7.7060,159.9250,0.9995
2025-11-07 16:41:08,7.7252,57.1618,0.9998
2025-11-07 16:41:08,7.7252,57.3047,0.9998
2025-11-07 16:41:08,7.7227,74.0035,0.9998
2025-11-07 16:41:08,7.7294,56.8456,0.9998
2025-11-07 16:41:08,7.7297,59.4417,0.9998
2025-11-07 16:41:08,7.7296,59.4595,0.9998
2025-11-07 16:41:08,7.7301,53.6016,0.9998
2025-11-07 16:41:09,7.7314,60.0608,0.9998
2025-11-07 16:41:09,7.7351,108.2872,0.9997
2025-11-07 16:41:09,7.7346,110.6402,0.9997
2025-11-07 16:41:09,7.7352,100.8402,0.9997
2025-11-07 16:41:09,7.7329,97.7042,0.9997
2025-11-07 16:41:09,7.7326,91.3016,0.9997
2025-11-07 16:41:09,7.7325,91.6540,0.9997
2025-11-07 16:41:09,7.7351,65.6451,0.9998
2025-11-07 16:41:09,7.7323,79.7826,0.9998
2025-11-07 16:41:09,7.7336,105.5642,0.9997
2025-11-07 16:41:09,7.7334,106.7093,0.9997
2025-11-07 16:41:09,7.7316,121.2010,0.9996
2025-11-07 16:41:10,7.7317,120.7400,0.9996
2025-11-07 16:41:10,7.7319,126.1474,0.9996
2025-11-07 16:41:10,7.7328,123.0607,0.9996
2025-11-07 16:41:10,7.7290,175.8433,0.9995
2025-11-07 16:41:10,7.7235,233.8103,0.9993
2025-11-07 16:41:10,7.7257,299.0731,0.9991
2025-11-07 16:41:10,7.7224,303.1988,0.9991
2025-11-07 16:41:10,7.7267,262.8091,0.9992
2025-11-07 16:41:10,7.7310,204.2306,0.9994
2025-11-07 16:41:10,7.7300,178.2743,0.9994
2025-11-07 16:41:11,7.7293,185.2470,0.9994
2025-11-07 16:41:11,7.7272,204.4422,0.9994
2025-11-07 16:41:11,7.7308,190.0356,0.9994
2025-11-07 16:41:11,7.7297,162.1103,0.9995
2025-11-07 16:41:11,7.7344,133.0179,0.9996
2025-11-07 16:41:11,7.7348,127.5509,0.9996
2025-11-07 16:41:11,7.7304,160.0667,0.9995
2025-11-07 16:41:11,7.7308,168.7402,0.9995
2025-11-07 16:41:11,7.7301,168.6879,0.9995
2025-11-07 16:41:11,7.7294,177.1407,0.9995
2025-11-07 16:41:11,7.7325,152.2141,0.9995
2025-11-07 16:41:11,7.7329,161.6028,0.9995
2025-11-07 16:41:12,7.7341,160.0849,0.9995
2025-11-07 16:41:12,7.7351,145.2245,0.9996
2025-11-07 16:41:12,7.7238,336.9422,0.9989
2025-11-07 16:41:12,7.7257,399.8146,0.9988
2025-11-07 16:41:12,7.7252,397.7290,0.9988
2025-11-07 16:41:12,7.7245,404.4162,0.9987
2025-11-07 16:41:12,7.7254,380.8627,0.9988
2025-11-07 16:41:12,7.7220,273.8648,0.9991
2025-11-07 16:41:12,7.7218,272.8112,0.9991
2025-11-07 16:41:12,7.7221,270.6324,0.9992
2025-11-07 16:41:12,7.7231,248.0162,0.9992
2025-11-07 16:41:12,7.7252,309.4011,0.9990
2025-11-07 16:41:13,7.7259,312.9089,0.9990
2025-11-07 16:41:13,7.7263,309.6579,0.9990
2025-11-07 16:41:13,7.7256,326.3099,0.9990
2025-11-07 16:41:13,7.7242,284.2292,0.9991
2025-11-07 16:41:13,7.7221,274.8415,0.9991
2025-11-07 16:41:13,7.7214,280.1794,0.9991
2025-11-07 16:41:13,7.7215,277.6898,0.9991
2025-11-07 16:41:13,7.7223,303.1211,0.9991
2025-11-07 16:41:13,7.7203,302.2469,0.9990
2025-11-07 16:41:13,7.7225,290.5348,0.9991
2025-11-07 16:41:13,7.7221,300.4609,0.9991
2025-11-07 16:41:14,7.7210,267.5422,0.9992
2025-11-07 16:41:14,7.7238,269.6018,0.9992
2025-11-07 16:41:14,7.7223,277.7772,0.9991
2025-11-07 16:41:14,7.7225,273.2456,0.9991
2025-11-07 16:41:14,7.7238,313.1452,0.9990
2025-11-07 16:41:14,7.7222,310.2358,0.9990
2025-11-07 16:41:14,7.7216,315.0343,0.9990
2025-11-07 16:41:15,7.7212,322.8275,0.9990
2025-11-07 16:41:15,7.7218,342.5505,0.9989
2025-11-07 16:41:15,7.7232,345.1516,0.9989
2025-11-07 16:41:15,7.7249,332.7500,0.9990
2025-11-07 16:41:15,7.7252,324.2042,0.9990
2025-11-07 16:41:15,7.7232,263.4628,0.9992
2025-11-07 16:41:15,7.7238,265.9095,0.9992
2025-11-07 16:41:15,7.7222,276.7620,0.9991
2025-11-07 16:41:15,7.7222,276.7620,0.9991
2025-11-07 16:41:15,7.7189,196.0789,0.9994
2025-11-07 16:41:15,7.7185,193.4429,0.9994
2025-11-07 16:41:16,7.7209,184.8376,0.9994
2025-11-07 16:41:16,7.7205,193.4696,0.9994
2025-11-07 16:41:16,7.7231,251.5222,0.9992
2025-11-07 16:41:16,7.7232,252.0786,0.9992
2025-11-07 16:41:16,7.7221,256.2042,0.9992
2025-11-07 16:41:16,7.7221,256.4644,0.9992
2025-11-07 16:41:16,7.7193,191.0179,0.9994
2025-11-07 16:41:16,7.7182,184.6436,0.9994
2025-11-07 16:41:16,7.7193,183.1679,0.9994
2025-11-07 16:41:17,7.7194,180.5863,0.9994
2025-11-07 16:41:17,7.7231,269.8267,0.9992
2025-11-07 16:41:17,7.7241,272.2644,0.9992
2025-11-07 16:41:17,7.7210,292.2635,0.9991
2025-11-07 16:41:17,7.7213,285.9616,0.9991
2025-11-07 16:41:17,7.7187,219.0354,0.9993
2025-11-07 16:41:17,7.7187,218.5973,0.9993
2025-11-07 16:41:17,7.7200,209.6794,0.9993
2025-11-07 16:41:17,7.7203,204.6153,0.9994
2025-11-07 16:41:17,7.7200,199.6729,0.9994
2025-11-07 16:41:17,7.7207,204.2660,0.9994
2025-11-07 16:41:17,7.7199,209.7492,0.9993
2025-11-07 16:41:18,7.7192,224.6656,0.9993
2025-11-07 16:41:18,7.7218,290.2218,0.9991
2025-11-07 16:41:18,7.7203,282.8243,0.9991
2025-11-07 16:41:18,7.7225,270.5951,0.9992
2025-11-07 16:41:18,7.7226,268.9037,0.9992
2025-11-07 16:41:18,7.7230,278.5592,0.9991
2025-11-07 16:41:18,7.7229,278.4505,0.9991
2025-11-07 16:41:18,7.7214,286.2767,0.9991
2025-11-07 16:41:18,7.7226,259.5313,0.9992
2025-11-07 16:41:18,7.7175,140.7954,0.9996
2025-11-07 16:41:19,7.7187,148.8714,0.9995
2025-11-07 16:41:19,7.7204,143.5610,0.9995
2025-11-07 16:41:19,7.7204,141.8526,0.9996
2025-11-07 16:41:19,7.7214,158.2725,0.9995
2025-11-07 16:41:19,7.7212,156.9563,0.9995
2025-11-07 16:41:19,7.7212,156.9283,0.9995
2025-11-07 16:41:19,7.7204,173.0804,0.9995
2025-11-07 16:41:19,7.7231,229.4155,0.9993
2025-11-07 16:41:19,7.7208,224.3094,0.9993
2025-11-07 16:41:19,7.7204,225.3596,0.9993
2025-11-07 16:41:19,7.7205,222.9424,0.9993
2025-11-07 16:41:19,7.7216,253.3421,0.9992
2025-11-07 16:41:20,7.7247,261.4039,0.9992
2025-11-07 16:41:20,7.7236,269.0572,0.9992
2025-11-07 16:41:20,7.7229,285.5474,0.9991
2025-11-07 16:41:20,7.7228,284.3238,0.9991
2025-11-07 16:41:20,7.7190,272.5105,0.9991
2025-11-07 16:41:20,7.7195,270.5053,0.9991
2025-11-07 16:41:20,7.7199,260.5082,0.9992
2025-11-07 16:41:20,7.7177,201.1122,0.9994
2025-11-07 16:41:20,7.7196,205.1413,0.9994
2025-11-07 16:41:20,7.7195,205.6582,0.9994
2025-11-07 16:41:20,7.7195,205.6582,0.9994
2025-11-07 16:41:21,7.7185,183.8447,0.9994
2025-11-07 16:41:21,7.7176,180.3840,0.9994
2025-11-07 16:41:21,7.7181,179.0016,0.9994
2025-11-07 16:41:21,7.7181,179.0016,0.9994
2025-11-07 16:41:21,7.7205,236.7977,0.9993
2025-11-07 16:41:21,7.7226,242.6916,0.9992
2025-11-07 16:41:21,7.7234,239.1972,0.9993
2025-11-07 16:41:21,7.7234,239.1972,0.9993
2025-11-07 16:41:21,7.7012,178.4399,0.9994
2025-11-07 16:41:21,7.7020,193.8916,0.9994
2025-11-07 16:41:21,7.7010,184.0966,0.9994
2025-11-07 16:41:22,7.7012,181.7357,0.9994
2025-11-07 16:41:22,7.7093,96.8728,0.9997
2025-11-07 16:41:22,7.7078,75.4315,0.9998
2025-11-07 16:41:22,7.7063,71.2895,0.9998
2025-11-07 16:41:22,7.7061,72.7272,0.9998
2025-11-07 16:41:22,7.7115,92.5445,0.9997
2025-11-07 16:41:22,7.7130,109.8450,0.9996
2025-11-07 16:41:22,7.7155,108.2747,0.9997
2025-11-07 16:41:22,7.7156,106.2045,0.9997
2025-11-07 16:41:23,7.7156,106.3979,0.9997
2025-11-07 16:41:23,7.7158,108.8330,0.9997
2025-11-07 16:41:23,7.7158,108.8877,0.9997
2025-11-07 16:41:23,7.7154,116.9981,0.9996
2025-11-07 16:41:23,7.7225,212.0097,0.9993
2025-11-07 16:41:23,7.7215,205.7802,0.9994
2025-11-07 16:41:23,7.7209,207.5706,0.9993
2025-11-07 16:41:23,7.7211,203.2174,0.9994
2025-11-07 16:41:23,7.7199,179.4606,0.9994
2025-11-07 16:41:23,7.7198,178.8990,0.9994
2025-11-07 16:41:23,7.7174,190.7752,0.9994
2025-11-07 16:41:24,7.7174,190.7752,0.9994
2025-11-07 16:41:24,7.7165,173.2793,0.9995
